"","Name","City","Type","ID","Grade3.ELA.Level1","Grade3.ELA.Level2","Grade3.ELA.Level3","Grade3.ELA.Level4","Grade3.Math.Level1","Grade3.Math.Level2","Grade3.Math.Level3","Grade3.Math.Level4","Grade4.ELA.Level1","Grade4.ELA.Level2","Grade4.ELA.Level3","Grade4.ELA.Level4","Grade4.Math.Level1","Grade4.Math.Level2","Grade4.Math.Level3","Grade4.Math.Level4","Grade5.ELA.Level1","Grade5.ELA.Level2","Grade5.ELA.Level3","Grade5.ELA.Level4","Grade5.Math.Level1","Grade5.Math.Level2","Grade5.Math.Level3","Grade5.Math.Level4"
"426","Kellman Corporate Community Elem","Chicago","ELEMENTARY","150162990252892",0,23.3,53.3,23.3,0,3.3,43.3,53.3,0,40,45.7,14.3,0,22.9,71.4,5.7,0,14.8,59.3,25.9,0,11.1,66.7,22.2
"427","Finkl Elem School","Chicago","ELEMENTARY","150162990252893",17.2,35.9,42.2,4.7,7.4,26.5,51.5,14.7,2.7,46.7,41.3,9.3,1.3,25.3,62,11.4,1.6,44.4,41.3,12.7,1.5,35.4,58.5,4.6
"428","Nia Middle Elem School","Chicago","ELEMENTARY","150162990252894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","Ariel Elem Community Academy","Chicago","ELEMENTARY","150162990252895",0,12.5,56.3,31.3,2.1,8.3,47.9,41.7,0,34,46,20,0,22,60,18,0,44.9,46.9,8.2,0,20.4,75.5,4.1
"430","Little Village Elem School","Chicago","ELEMENTARY","150162990252896",11.6,49.3,36.2,2.9,7,28.2,49.3,15.5,0,36.5,51.4,12.2,2.6,17.1,76.3,3.9,2.5,56.3,30,11.3,1.2,48.1,49.4,1.2
"431","Zapata Elem Academy","Chicago","ELEMENTARY","150162990252897",11.8,38.8,45.9,3.5,2.3,20.9,61.6,15.1,3.5,51.2,37.2,8.1,0,13.5,71.9,14.6,0,50,41.9,8.1,0,17.2,73.6,9.2
"432","Ortiz De Dominguez Elem School","Chicago","ELEMENTARY","150162990252898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433","Lara Elem Academy","Chicago","ELEMENTARY","150162990252900",15.5,50,32.8,1.7,6.8,16.9,62.7,13.6,5.6,49.3,40.8,4.2,4.2,19.7,70.4,5.6,0,54.5,45.5,0,0,33.3,62.1,4.5
"434","Telpochcalli Elem School","Chicago","ELEMENTARY","150162990252901",10.7,53.6,28.6,7.1,3.2,22.6,51.6,22.6,12,44,44,0,0,28,64,8,0,66.7,33.3,0,0,68,28,4
"435","Wells Preparatory Elem Academy","Chicago","ELEMENTARY","150162990252902",0,61.1,33.3,5.6,5.6,27.8,55.6,11.1,0,45,40,15,0,5,85,10,0,42.9,50,7.1,0,42.9,57.1,0
"436","Woodlawn Elem Community School","Chicago","ELEMENTARY","150162990252903",5.1,20.5,64.1,10.3,2.6,25.6,53.8,17.9,3.7,22.2,48.1,25.9,0,22.2,63,14.8,0,10,85,5,0,20,75,5
"437","Christopher Elem School","Chicago","ELEMENTARY","150162990252904",17.6,47.1,35.3,0,11.8,29.4,52.9,5.9,0,40,60,0,0,25,68.8,6.3,0,33.3,61.1,5.6,0,33.3,66.7,0
"438","West Park Elem Academy","Chicago","ELEMENTARY","150162990252908",5.1,47.4,42.3,5.1,5.1,35.4,48.1,11.4,0,52.4,42.9,4.8,0,36,57.3,6.7,0,47.8,46.4,5.8,0,32.9,65.7,1.4
"439","Ames Middle School","Chicago","ELEMENTARY","150162990252912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440","Fairfield Elem Academy","Chicago","ELEMENTARY","150162990252913",23.8,42.5,28.8,5,27.5,27.5,33.8,11.3,4,66.7,21.3,8,13.2,47.4,35.5,3.9,1.5,65.2,28.8,4.5,3,63.6,33.3,0
"441","Sandoval Elem School","Chicago","ELEMENTARY","150162990252914",12.2,43.3,43.3,1.2,9.1,22.6,56.1,12.2,2.1,42.3,41.5,14.1,2.1,23.2,66.2,8.5,0,35.2,50.3,14.5,0,24.1,67.6,8.3
"442","Northwest Middle School","Chicago","ELEMENTARY","150162990252915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","Hampton Elem Fine & Perf Arts Sch","Chicago","ELEMENTARY","150162990252916",5.6,40.3,47.2,6.9,8.3,34.7,50,6.9,1.4,47.3,47.3,4.1,4,48,45.3,2.7,1.2,38.1,56,4.8,0,26.2,70.2,3.6
"444","Colemon, J Elem Academy","Chicago","ELEMENTARY","150162990252918",6.1,24.2,57.6,12.1,5.9,14.7,70.6,8.8,0,20.8,58.3,20.8,0,16,76,8,0,25,50,25,0,29.2,70.8,0
"445","Columbia Explorers Elem Academy","Chicago","ELEMENTARY","150162990252919",7.5,41.5,43.4,7.5,5.6,25.2,48.6,20.6,1,31.3,50.5,17.2,1,14.7,66.7,17.6,0,55.3,40.4,4.3,1,31.6,62.2,5.1
"446","Chicago Academy Elem School","Chicago","ELEMENTARY","150162990252920",3.5,12.3,38.6,45.6,0,0,22.8,77.2,0,22.8,43.9,33.3,0,1.8,70.2,28.1,0,21.1,38.6,40.4,0,3.5,70.2,26.3
"447","Courtenay Elem Language Arts Ctr","Chicago","ELEMENTARY","150162990252921",0,33.3,66.7,0,0,25,41.7,33.3,0,12.5,62.5,25,0,0,68.8,31.3,0,40,33.3,26.7,0,0,93.3,6.7
"448","Ashburn Community Elem School","Chicago","ELEMENTARY","150162990252922",3.6,34.5,52.7,9.1,9.1,14.5,50.9,25.5,3.3,45,40,11.7,3.3,28.3,66.7,1.7,0,51.9,42.6,5.6,0,40.7,59.3,0
"449","Belmont-Cragin Elem School","Chicago","ELEMENTARY","150162990252923",7.4,63,29.6,0,11.1,29.6,44.4,14.8,0,56.7,43.3,0,0,23.3,76.7,0,0,56.3,37.5,6.3,0,28.1,68.8,3.1
"450","National Teachers Elem Academy","Chicago","ELEMENTARY","150162990252924",5.2,44.8,48.3,1.7,8.6,19,60.3,12.1,2.2,58.7,30.4,8.7,6.5,19.6,67.4,6.5,6.3,40.6,43.8,9.4,0,37.5,56.3,6.3
"451","South Chicago Community Elem Schl","Chicago","ELEMENTARY","150162990252925",20,50,25,5,25,35,40,0,5.9,52.9,29.4,11.8,11.8,11.8,76.5,0,0,62.5,37.5,0,0,46.7,53.3,0
"452","Talman Elem School","Chicago","ELEMENTARY","150162990252926",11.5,26.9,50,11.5,0,19.2,38.5,42.3,3.8,46.2,46.2,3.8,0,14.8,77.8,7.4,0,40.7,48.1,11.1,0,29.6,66.7,3.7
