"","Name","City","Type","ID","Grade3.ELA.Level1","Grade3.ELA.Level2","Grade3.ELA.Level3","Grade3.ELA.Level4","Grade3.Math.Level1","Grade3.Math.Level2","Grade3.Math.Level3","Grade3.Math.Level4","Grade4.ELA.Level1","Grade4.ELA.Level2","Grade4.ELA.Level3","Grade4.ELA.Level4","Grade4.Math.Level1","Grade4.Math.Level2","Grade4.Math.Level3","Grade4.Math.Level4","Grade5.ELA.Level1","Grade5.ELA.Level2","Grade5.ELA.Level3","Grade5.ELA.Level4","Grade5.Math.Level1","Grade5.Math.Level2","Grade5.Math.Level3","Grade5.Math.Level4"
"63","Carter Elem School","Chicago","ELEMENTARY","150162990252123",7.7,38.5,48.7,5.1,10.3,41,38.5,10.3,5.1,48.7,41,5.1,5.1,30.8,61.5,2.6,2.2,56.5,39.1,2.2,0,56.5,41.3,2.2
"64","Cassell Elem School","Chicago","ELEMENTARY","150162990252126",3.8,19.2,34.6,42.3,0,3.8,50,46.2,0,20.7,51.7,27.6,0,10.3,72.4,17.2,2.9,17.1,54.3,25.7,0,11.4,77.1,11.4
"65","Cather Elem School","Chicago","ELEMENTARY","150162990252127",29.2,16.7,37.5,16.7,8.3,33.3,41.7,16.7,9.5,33.3,47.6,9.5,4.8,23.8,57.1,14.3,0,47.8,43.5,8.7,4.3,17.4,78.3,0
"66","Chalmers Elem Specialty School","Chicago","ELEMENTARY","150162990252128",16.7,46.7,30,6.7,40,30,30,0,2.8,61.1,25,11.1,8.3,47.2,41.7,2.8,0,72.2,27.8,0,0,88.9,11.1,0
"67","Chappell Elem School","Chicago","ELEMENTARY","150162990252129",9.8,22,56.1,12.2,4.9,7.3,75.6,12.2,0,32.1,64.3,3.6,3.6,14.3,71.4,10.7,0,48.8,39,12.2,0,24.4,65.9,9.8
"68","Chase Elem School","Chicago","ELEMENTARY","150162990252130",6.3,41.7,43.8,8.3,3.9,23.5,58.8,13.7,0,44.2,48.1,7.7,0,36.4,60,3.6,0,38.6,52.3,9.1,0,15.2,76.1,8.7
"69","Clay Elem School","Chicago","ELEMENTARY","150162990252132",7.8,37.5,46.9,7.8,12.5,12.5,56.3,18.8,3,33.3,47,16.7,0,22.7,63.6,13.6,1.4,41.9,44.6,12.2,0,37.8,56.8,5.4
"70","Cleveland Elem School","Chicago","ELEMENTARY","150162990252133",5.6,29.2,50,15.3,6.9,9.7,40.3,43.1,1.4,28.6,47.1,22.9,2.9,12.9,74.3,10,0,31.3,43.8,25,0,16.7,75,8.3
"71","Clinton Elem School","Chicago","ELEMENTARY","150162990252134",5,31.9,44.7,18.4,2.6,13.2,54.3,29.8,4.2,26.6,46.9,22.4,0,15.8,58.9,25.3,0,37.7,46.4,15.9,0.7,20.1,64.6,14.6
"72","Clissold Elem School","Chicago","ELEMENTARY","150162990252135",2.9,28.6,42.9,25.7,2.9,7.1,50,40,3.4,25.4,55.9,15.3,0,18.6,67.8,13.6,0,33.3,44.9,21.7,0,26.1,65.2,8.7
"73","Coles Elem Language Academy","Chicago","ELEMENTARY","150162990252136",16.7,35.9,39.7,7.7,14.3,26,42.9,16.9,4.2,37.5,50,8.3,0,31.3,60.4,8.3,0,56.1,31.6,12.3,0,43.9,56.1,0
"74","Columbus Elem School","Chicago","ELEMENTARY","150162990252138",0,29,48.4,22.6,0,21.9,34.4,43.8,0,43.8,25,31.3,0,18.2,51.5,30.3,2.7,37.8,37.8,21.6,0,23.7,68.4,7.9
"75","Cook Elem School","Chicago","ELEMENTARY","150162990252139",15.7,27.7,50.6,6,18.3,19.5,46.3,15.9,4.5,45.5,45.5,4.5,1.5,31.8,63.6,3,1.7,63.3,33.3,1.7,1.7,57.6,40.7,0
"76","Coonley Elem School","Chicago","ELEMENTARY","150162990252141",10.5,21.1,57.9,10.5,5.3,21.1,63.2,10.5,4.8,28.6,47.6,19,0,14.3,76.2,9.5,0,18.2,27.3,54.5,0,27.3,54.5,18.2
"77","Cooper Elem Dual Language Academy","Chicago","ELEMENTARY","150162990252142",12.1,42.4,40.4,5.1,7.1,26.3,52.5,14.1,5.4,47.3,31.2,16.1,2,28.6,57.1,12.2,0,51.1,39.1,9.8,0,33,63.8,3.2
"78","Corkery Elem School","Chicago","ELEMENTARY","150162990252145",18.6,34.3,42.9,4.3,7.1,31.4,50,11.4,1.7,50,41.7,6.7,0,26.7,68.3,5,0,57.8,34.4,7.8,0,32.8,64.1,3.1
